symbol,side,quantity,price,expected_price,market_impact,market_impact_bps,slippage_bps,commission,timestamp,order_id
AAPL,BUY,119,149.93,149.99,0.0001,1.0,0.1,0.59,2026-05-17 15:59:37,AAPL_BUY_17
AAPL,BUY,106,157.08,156.84,0.0001,1.0,0.1,0.53,2026-05-12 15:59:37,AAPL_BUY_18
AAPL,SELL,20,149.37,149.4,0.0001,1.0,0.1,0.1,2026-06-01 15:59:37,AAPL_SELL_19
AAPL,BUY,113,144.14,144.59,0.0001,1.0,0.1,0.57,2026-05-11 15:59:37,AAPL_BUY_20
AAPL,SELL,71,159.41,159.19,0.0001,1.0,0.1,0.35,2026-05-19 15:59:37,AAPL_SELL_21
AAPL,SELL,141,139.3,139.14,0.0001,1.0,0.1,0.7,2026-05-27 15:59:37,AAPL_SELL_22
AAPL,BUY,28,138.28,138.36,0.0001,1.0,0.1,0.14,2026-07-04 15:59:37,AAPL_BUY_23
AAPL,SELL,96,151.36,151.71,0.0001,1.0,0.1,0.48,2026-05-13 15:59:37,AAPL_SELL_24
AAPL,BUY,192,141.87,141.48,0.0001,1.0,0.1,0.96,2026-06-25 15:59:37,AAPL_BUY_25
AAPL,BUY,83,154.82,154.2,0.0001,1.0,0.1,0.42,2026-05-21 15:59:37,AAPL_BUY_26
AAPL,BUY,117,149.82,149.83,0.0001,1.0,0.1,0.58,2026-06-22 15:59:37,AAPL_BUY_27
AAPL,BUY,93,160.03,160.12,0.0001,1.0,0.1,0.47,2026-05-25 15:59:37,AAPL_BUY_28
AAPL,BUY,142,152.51,152.17,0.0001,1.0,0.1,0.71,2026-05-17 15:59:37,AAPL_BUY_29
AAPL,SELL,23,145.76,145.96,0.0001,1.0,0.1,0.12,2026-06-03 15:59:37,AAPL_SELL_30
AAPL,BUY,89,158.66,157.64,0.0001,1.0,0.1,0.45,2026-05-09 15:59:37,AAPL_BUY_31
AAPL,BUY,23,153.56,153.38,0.0001,1.0,0.1,0.12,2026-06-04 15:59:37,AAPL_BUY_32
MSFT,BUY,105,406.43,405.81,0.0001,1.0,0.1,0.53,2026-06-13 15:59:37,MSFT_BUY_0
MSFT,BUY,45,430.38,430.07,0.0001,1.0,0.1,0.23,2026-06-21 15:59:37,MSFT_BUY_1
MSFT,SELL,187,386.3,388.27,0.0001,1.0,0.1,0.94,2026-05-14 15:59:37,MSFT_SELL_2
MSFT,BUY,88,391.04,390.29,0.0001,1.0,0.1,0.44,2026-05-16 15:59:37,MSFT_BUY_3
MSFT,SELL,64,409.96,408.93,0.0001,1.0,0.1,0.32,2026-06-01 15:59:37,MSFT_SELL_4
MSFT,SELL,81,438.28,438.16,0.0001,1.0,0.1,0.41,2026-06-15 15:59:37,MSFT_SELL_5
MSFT,BUY,82,395.21,392.98,0.0001,1.0,0.1,0.41,2026-05-21 15:59:37,MSFT_BUY_6
MSFT,BUY,163,390.04,391.66,0.0001,1.0,0.1,0.82,2026-06-22 15:59:37,MSFT_BUY_7
MSFT,BUY,169,379.91,379.23,0.0001,1.0,0.1,0.84,2026-06-02 15:59:37,MSFT_BUY_8
MSFT,BUY,110,382.62,384.45,0.0001,1.0,0.1,0.55,2026-06-18 15:59:37,MSFT_BUY_9
MSFT,BUY,165,429.98,430.43,0.0001,1.0,0.1,0.83,2026-05-08 15:59:37,MSFT_BUY_10
MSFT,BUY,103,420.5,421.57,0.0001,1.0,0.1,0.52,2026-05-14 15:59:37,MSFT_BUY_11
MSFT,SELL,125,346.85,347.32,0.0001,1.0,0.1,0.62,2026-06-13 15:59:37,MSFT_SELL_12
MSFT,BUY,177,389.02,388.26,0.0001,1.0,0.1,0.89,2026-06-09 15:59:37,MSFT_BUY_13
MSFT,BUY,32,403.54,403.52,0.0001,1.0,0.1,0.16,2026-07-01 15:59:37,MSFT_BUY_14
MSFT,SELL,126,403.94,401.33,0.0001,1.0,0.1,0.63,2026-06-14 15:59:37,MSFT_SELL_15
MSFT,BUY,34,393.17,393.0,0.0001,1.0,0.1,0.17,2026-06-23 15:59:37,MSFT_BUY_16
MSFT,SELL,26,364.85,363.94,0.0001,1.0,0.1,0.13,2026-06-13 15:59:37,MSFT_SELL_17
MSFT,BUY,71,406.08,406.07,0.0001,1.0,0.1,0.35,2026-06-25 15:59:37,MSFT_BUY_18
MSFT,SELL,103,410.81,410.77,0.0001,1.0,0.1,0.52,2026-06-13 15:59:37,MSFT_SELL_19
MSFT,SELL,130,370.66,371.07,0.0001,1.0,0.1,0.65,2026-05-21 15:59:37,MSFT_SELL_20
MSFT,BUY,23,403.7,404.42,0.0001,1.0,0.1,0.12,2026-07-03 15:59:37,MSFT_BUY_21
GOOGL,BUY,98,134.67,134.67,0.0001,1.0,0.1,0.49,2026-06-24 15:59:37,GOOGL_BUY_0
GOOGL,SELL,47,140.31,140.39,0.0001,1.0,0.1,0.24,2026-05-14 15:59:37,GOOGL_SELL_1
GOOGL,SELL,132,133.94,133.57,0.0001,1.0,0.1,0.66,2026-05-14 15:59:37,GOOGL_SELL_2
GOOGL,BUY,89,131.34,131.37,0.0001,1.0,0.1,0.45,2026-06-01 15:59:37,GOOGL_BUY_3
GOOGL,BUY,41,138.27,138.29,0.0001,1.0,0.1,0.21,2026-06-01 15:59:37,GOOGL_BUY_4
GOOGL,BUY,115,147.34,147.32,0.0001,1.0,0.1,0.58,2026-06-16 15:59:37,GOOGL_BUY_5
GOOGL,BUY,150,142.74,142.94,0.0001,1.0,0.1,0.75,2026-06-01 15:59:37,GOOGL_BUY_6
GOOGL,BUY,23,137.36,137.87,0.0001,1.0,0.1,0.12,2026-06-17 15:59:37,GOOGL_BUY_7
GOOGL,SELL,165,142.04,142.12,0.0001,1.0,0.1,0.83,2026-05-09 15:59:37,GOOGL_SELL_8
GOOGL,BUY,69,134.24,134.26,0.0001,1.0,0.1,0.35,2026-05-29 15:59:37,GOOGL_BUY_9
GOOGL,SELL,174,147.78,147.39,0.0001,1.0,0.1,0.87,2026-05-25 15:59:37,GOOGL_SELL_10
GOOGL,BUY,91,142.37,142.4,0.0001,1.0,0.1,0.46,2026-05-14 15:59:37,GOOGL_BUY_11
GOOGL,BUY,143,139.93,139.78,0.0001,1.0,0.1,0.71,2026-05-19 15:59:37,GOOGL_BUY_12
GOOGL,BUY,23,129.79,130.09,0.0001,1.0,0.1,0.12,2026-05-23 15:59:37,GOOGL_BUY_13
GOOGL,BUY,49,141.94,141.79,0.0001,1.0,0.1,0.24,2026-05-20 15:59:37,GOOGL_BUY_14
GOOGL,SELL,73,144.45,144.53,0.0001,1.0,0.1,0.36,2026-05-31 15:59:37,GOOGL_SELL_15
GOOGL,BUY,50,144.8,144.73,0.0001,1.0,0.1,0.25,2026-06-25 15:59:37,GOOGL_BUY_16
GOOGL,BUY,172,138.19,138.38,0.0001,1.0,0.1,0.86,2026-06-23 15:59:37,GOOGL_BUY_17
GOOGL,BUY,113,135.71,135.41,0.0001,1.0,0.1,0.57,2026-06-23 15:59:37,GOOGL_BUY_18
GOOGL,BUY,191,143.91,144.16,0.0001,1.0,0.1,0.96,2026-05-23 15:59:37,GOOGL_BUY_19
GOOGL,BUY,104,136.63,136.54,0.0001,1.0,0.1,0.52,2026-05-22 15:59:37,GOOGL_BUY_20
GOOGL,BUY,126,141.42,141.2,0.0001,1.0,0.1,0.63,2026-06-10 15:59:37,GOOGL_BUY_21
GOOGL,SELL,65,132.48,132.65,0.0001,1.0,0.1,0.33,2026-06-04 15:59:37,GOOGL_SELL_22
GOOGL,SELL,162,126.53,126.71,0.0001,1.0,0.1,0.81,2026-06-17 15:59:37,GOOGL_SELL_23
GOOGL,BUY,165,140.11,139.82,0.0001,1.0,0.1,0.83,2026-05-15 15:59:37,GOOGL_BUY_24
GOOGL,SELL,121,142.62,142.77,0.0001,1.0,0.1,0.6,2026-05-22 15:59:37,GOOGL_SELL_25
GOOGL,SELL,175,154.57,155.1,0.0001,1.0,0.1,0.88,2026-06-22 15:59:37,GOOGL_SELL_26
GOOGL,SELL,124,144.04,144.33,0.0001,1.0,0.1,0.62,2026-06-04 15:59:37,GOOGL_SELL_27
GOOGL,SELL,195,143.29,143.24,0.0001,1.0,0.1,0.97,2026-06-16 15:59:37,GOOGL_SELL_28
GOOGL,SELL,128,131.61,131.46,0.0001,1.0,0.1,0.64,2026-05-07 15:59:37,GOOGL_SELL_29
GOOGL,BUY,26,138.94,139.28,0.0001,1.0,0.1,0.13,2026-05-23 15:59:37,GOOGL_BUY_30
GOOGL,SELL,133,144.15,144.07,0.0001,1.0,0.1,0.67,2026-06-12 15:59:37,GOOGL_SELL_31
GOOGL,BUY,40,120.26,120.07,0.0001,1.0,0.1,0.2,2026-06-22 15:59:37,GOOGL_BUY_32
GOOGL,BUY,178,142.82,142.78,0.0001,1.0,0.1,0.89,2026-06-07 15:59:37,GOOGL_BUY_33
GOOGL,BUY,189,131.09,131.22,0.0001,1.0,0.1,0.95,2026-05-20 15:59:37,GOOGL_BUY_34
NVDA,BUY,153,505.03,504.94,0.0001,1.0,0.1,0.77,2026-07-04 15:59:37,NVDA_BUY_0
NVDA,BUY,119,543.52,542.41,0.0001,1.0,0.1,0.59,2026-05-24 15:59:37,NVDA_BUY_1
NVDA,BUY,187,494.98,494.62,0.0001,1.0,0.1,0.94,2026-06-06 15:59:37,NVDA_BUY_2
NVDA,SELL,141,506.43,505.61,0.0001,1.0,0.1,0.7,2026-06-14 15:59:37,NVDA_SELL_3
NVDA,BUY,139,503.28,503.94,0.0001,1.0,0.1,0.7,2026-06-27 15:59:37,NVDA_BUY_4
NVDA,SELL,185,489.66,490.32,0.0001,1.0,0.1,0.93,2026-05-09 15:59:37,NVDA_SELL_5
NVDA,SELL,29,493.24,493.96,0.0001,1.0,0.1,0.14,2026-06-22 15:59:37,NVDA_SELL_6
NVDA,BUY,172,475.65,476.08,0.0001,1.0,0.1,0.86,2026-05-19 15:59:37,NVDA_BUY_7
NVDA,SELL,41,518.73,516.46,0.0001,1.0,0.1,0.21,2026-06-14 15:59:37,NVDA_SELL_8
NVDA,BUY,198,518.51,517.76,0.0001,1.0,0.1,0.99,2026-05-22 15:59:37,NVDA_BUY_9
NVDA,BUY,97,519.75,518.7,0.0001,1.0,0.1,0.48,2026-07-04 15:59:37,NVDA_BUY_10
NVDA,BUY,23,491.35,491.46,0.0001,1.0,0.1,0.12,2026-05-16 15:59:37,NVDA_BUY_11
NVDA,BUY,34,506.29,505.58,0.0001,1.0,0.1,0.17,2026-06-22 15:59:37,NVDA_BUY_12
NVDA,BUY,121,497.53,497.32,0.0001,1.0,0.1,0.6,2026-05-14 15:59:37,NVDA_BUY_13
NVDA,BUY,106,510.49,512.92,0.0001,1.0,0.1,0.53,2026-05-12 15:59:37,NVDA_BUY_14
NVDA,BUY,21,482.28,483.4,0.0001,1.0,0.1,0.1,2026-06-22 15:59:37,NVDA_BUY_15
NVDA,BUY,146,467.47,467.72,0.0001,1.0,0.1,0.73,2026-05-29 15:59:37,NVDA_BUY_16
NVDA,BUY,129,499.78,500.76,0.0001,1.0,0.1,0.65,2026-05-14 15:59:37,NVDA_BUY_17
NVDA,BUY,28,500.9,501.75,0.0001,1.0,0.1,0.14,2026-05-30 15:59:37,NVDA_BUY_18
NVDA,BUY,44,473.98,472.77,0.0001,1.0,0.1,0.22,2026-05-21 15:59:37,NVDA_BUY_19
NVDA,BUY,131,496.06,496.72,0.0001,1.0,0.1,0.66,2026-06-11 15:59:37,NVDA_BUY_20
NVDA,SELL,33,516.93,517.49,0.0001,1.0,0.1,0.17,2026-05-27 15:59:37,NVDA_SELL_21
NVDA,SELL,44,521.25,521.14,0.0001,1.0,0.1,0.22,2026-06-26 15:59:37,NVDA_SELL_22
NVDA,BUY,117,464.13,463.38,0.0001,1.0,0.1,0.58,2026-05-30 15:59:37,NVDA_BUY_23
AMZN,SELL,95,171.37,170.81,0.0001,1.0,0.1,0.48,2026-06-16 15:59:37,AMZN_SELL_0
AMZN,BUY,172,179.95,179.75,0.0001,1.0,0.1,0.86,2026-06-25 15:59:37,AMZN_BUY_1
AMZN,SELL,166,161.89,162.07,0.0001,1.0,0.1,0.83,2026-05-23 15:59:37,AMZN_SELL_2
AMZN,SELL,171,167.38,167.74,0.0001,1.0,0.1,0.85,2026-05-07 15:59:37,AMZN_SELL_3
AMZN,BUY,188,150.49,150.7,0.0001,1.0,0.1,0.94,2026-05-30 15:59:37,AMZN_BUY_4
AMZN,SELL,84,179.02,179.05,0.0001,1.0,0.1,0.42,2026-07-01 15:59:37,AMZN_SELL_5
AMZN,BUY,157,173.01,172.86,0.0001,1.0,0.1,0.79,2026-07-05 15:59:37,AMZN_BUY_6
AMZN,BUY,49,177.82,177.71,0.0001,1.0,0.1,0.24,2026-06-29 15:59:37,AMZN_BUY_7
AMZN,BUY,48,162.73,162.6,0.0001,1.0,0.1,0.24,2026-06-24 15:59:37,AMZN_BUY_8
AMZN,BUY,86,168.27,168.73,0.0001,1.0,0.1,0.43,2026-06-30 15:59:37,AMZN_BUY_9
AMZN,BUY,91,177.46,177.79,0.0001,1.0,0.1,0.46,2026-06-01 15:59:37,AMZN_BUY_10
AMZN,BUY,62,174.31,174.57,0.0001,1.0,0.1,0.31,2026-06-26 15:59:37,AMZN_BUY_11
AMZN,BUY,62,178.1,178.56,0.0001,1.0,0.1,0.31,2026-06-03 15:59:37,AMZN_BUY_12
AMZN,SELL,32,179.03,179.4,0.0001,1.0,0.1,0.16,2026-06-11 15:59:37,AMZN_SELL_13
AMZN,BUY,62,189.13,188.91,0.0001,1.0,0.1,0.31,2026-06-15 15:59:37,AMZN_BUY_14
AMZN,BUY,141,162.99,162.9,0.0001,1.0,0.1,0.7,2026-05-25 15:59:37,AMZN_BUY_15
AMZN,SELL,38,172.65,172.6,0.0001,1.0,0.1,0.19,2026-05-29 15:59:37,AMZN_SELL_16
AMZN,BUY,59,172.2,172.76,0.0001,1.0,0.1,0.29,2026-05-12 15:59:37,AMZN_BUY_17
AMZN,SELL,97,186.2,186.94,0.0001,1.0,0.1,0.48,2026-05-30 15:59:37,AMZN_SELL_18
AMZN,SELL,182,161.95,162.1,0.0001,1.0,0.1,0.91,2026-06-26 15:59:37,AMZN_SELL_19
AMZN,SELL,147,160.55,160.86,0.0001,1.0,0.1,0.73,2026-06-09 15:59:37,AMZN_SELL_20
AMZN,SELL,119,158.91,158.47,0.0001,1.0,0.1,0.59,2026-06-17 15:59:37,AMZN_SELL_21
AMZN,SELL,82,163.36,163.27,0.0001,1.0,0.1,0.41,2026-06-23 15:59:37,AMZN_SELL_22
AMZN,SELL,138,168.0,168.55,0.0001,1.0,0.1,0.69,2026-05-31 15:59:37,AMZN_SELL_23
AMZN,BUY,100,184.24,184.68,0.0001,1.0,0.1,0.5,2026-06-04 15:59:37,AMZN_BUY_24
AMZN,BUY,128,178.19,177.84,0.0001,1.0,0.1,0.64,2026-05-13 15:59:37,AMZN_BUY_25
AMZN,BUY,184,184.0,184.62,0.0001,1.0,0.1,0.92,2026-06-14 15:59:37,AMZN_BUY_26
AMZN,BUY,85,174.85,175.76,0.0001,1.0,0.1,0.42,2026-05-13 15:59:37,AMZN_BUY_27
AMZN,BUY,100,175.94,175.69,0.0001,1.0,0.1,0.5,2026-06-23 15:59:37,AMZN_BUY_28
META,SELL,126,554.67,554.02,0.0001,1.0,0.1,0.63,2026-06-21 15:59:37,META_SELL_0
META,SELL,26,551.54,551.22,0.0001,1.0,0.1,0.13,2026-07-02 15:59:37,META_SELL_1
META,BUY,148,518.19,518.09,0.0001,1.0,0.1,0.74,2026-06-24 15:59:37,META_BUY_2
META,BUY,159,516.5,518.09,0.0001,1.0,0.1,0.8,2026-06-19 15:59:37,META_BUY_3
META,BUY,64,524.91,526.68,0.0001,1.0,0.1,0.32,2026-06-25 15:59:37,META_BUY_4
META,BUY,172,512.58,513.05,0.0001,1.0,0.1,0.86,2026-07-01 15:59:37,META_BUY_5
META,BUY,136,481.7,481.71,0.0001,1.0,0.1,0.68,2026-06-21 15:59:37,META_BUY_6
META,BUY,148,509.14,511.0,0.0001,1.0,0.1,0.74,2026-05-09 15:59:37,META_BUY_7
META,BUY,122,527.67,526.04,0.0001,1.0,0.1,0.61,2026-06-23 15:59:37,META_BUY_8
META,BUY,134,511.3,510.31,0.0001,1.0,0.1,0.67,2026-05-15 15:59:37,META_BUY_9
META,BUY,67,518.44,517.75,0.0001,1.0,0.1,0.34,2026-06-13 15:59:37,META_BUY_10
META,BUY,44,524.93,525.05,0.0001,1.0,0.1,0.22,2026-05-16 15:59:37,META_BUY_11
META,BUY,71,525.85,524.54,0.0001,1.0,0.1,0.35,2026-06-29 15:59:37,META_BUY_12
META,BUY,47,519.12,518.81,0.0001,1.0,0.1,0.24,2026-06-25 15:59:37,META_BUY_13
META,BUY,110,505.23,504.15,0.0001,1.0,0.1,0.55,2026-06-09 15:59:37,META_BUY_14
META,SELL,190,497.79,496.49,0.0001,1.0,0.1,0.95,2026-06-23 15:59:37,META_SELL_15
META,BUY,100,548.58,548.98,0.0001,1.0,0.1,0.5,2026-06-12 15:59:37,META_BUY_16
META,BUY,160,487.01,488.48,0.0001,1.0,0.1,0.8,2026-05-22 15:59:37,META_BUY_17
META,SELL,165,520.89,520.31,0.0001,1.0,0.1,0.83,2026-05-21 15:59:37,META_SELL_18
META,BUY,185,511.35,511.67,0.0001,1.0,0.1,0.93,2026-06-19 15:59:37,META_BUY_19
META,SELL,179,520.84,521.83,0.0001,1.0,0.1,0.9,2026-05-26 15:59:37,META_SELL_20
META,SELL,98,541.11,542.12,0.0001,1.0,0.1,0.49,2026-06-02 15:59:37,META_SELL_21
META,BUY,88,543.5,545.33,0.0001,1.0,0.1,0.44,2026-06-18 15:59:37,META_BUY_22
META,SELL,185,523.18,523.74,0.0001,1.0,0.1,0.93,2026-06-29 15:59:37,META_SELL_23
META,SELL,160,527.29,529.29,0.0001,1.0,0.1,0.8,2026-05-27 15:59:37,META_SELL_24
META,BUY,185,500.86,500.05,0.0001,1.0,0.1,0.93,2026-05-20 15:59:37,META_BUY_25
META,BUY,143,548.47,549.7,0.0001,1.0,0.1,0.71,2026-05-20 15:59:37,META_BUY_26
META,BUY,86,480.42,480.34,0.0001,1.0,0.1,0.43,2026-06-24 15:59:37,META_BUY_27
META,SELL,150,543.08,541.81,0.0001,1.0,0.1,0.75,2026-05-18 15:59:37,META_SELL_28
META,BUY,102,481.95,481.16,0.0001,1.0,0.1,0.51,2026-06-01 15:59:37,META_BUY_29
META,BUY,175,572.1,573.33,0.0001,1.0,0.1,0.88,2026-05-21 15:59:37,META_BUY_30
META,BUY,52,543.8,543.53,0.0001,1.0,0.1,0.26,2026-06-26 15:59:37,META_BUY_31
META,BUY,82,494.44,495.42,0.0001,1.0,0.1,0.41,2026-06-30 15:59:37,META_BUY_32
META,BUY,140,520.99,521.65,0.0001,1.0,0.1,0.7,2026-05-15 15:59:37,META_BUY_33
META,BUY,197,542.75,543.13,0.0001,1.0,0.1,0.98,2026-05-26 15:59:37,META_BUY_34
JPM,BUY,131,165.64,165.38,0.0001,1.0,0.1,0.66,2026-05-21 15:59:37,JPM_BUY_0
JPM,BUY,153,189.99,189.76,0.0001,1.0,0.1,0.77,2026-06-23 15:59:37,JPM_BUY_1
JPM,BUY,152,187.24,187.3,0.0001,1.0,0.1,0.76,2026-06-28 15:59:37,JPM_BUY_2
JPM,SELL,34,187.39,187.69,0.0001,1.0,0.1,0.17,2026-06-09 15:59:37,JPM_SELL_3
JPM,BUY,29,194.52,194.67,0.0001,1.0,0.1,0.14,2026-06-27 15:59:37,JPM_BUY_4
JPM,BUY,94,194.6,194.41,0.0001,1.0,0.1,0.47,2026-07-03 15:59:37,JPM_BUY_5
JPM,BUY,186,169.95,169.76,0.0001,1.0,0.1,0.93,2026-05-18 15:59:37,JPM_BUY_6
JPM,BUY,65,186.82,186.88,0.0001,1.0,0.1,0.33,2026-06-29 15:59:37,JPM_BUY_7
JPM,SELL,30,182.53,182.29,0.0001,1.0,0.1,0.15,2026-06-05 15:59:37,JPM_SELL_8
JPM,BUY,29,179.8,179.35,0.0001,1.0,0.1,0.14,2026-05-27 15:59:37,JPM_BUY_9
JPM,BUY,106,189.69,189.64,0.0001,1.0,0.1,0.53,2026-05-18 15:59:37,JPM_BUY_10
JPM,BUY,63,181.18,181.78,0.0001,1.0,0.1,0.32,2026-05-19 15:59:37,JPM_BUY_11
JPM,SELL,27,185.04,185.18,0.0001,1.0,0.1,0.14,2026-06-12 15:59:37,JPM_SELL_12
JPM,SELL,36,169.34,169.21,0.0001,1.0,0.1,0.18,2026-05-17 15:59:37,JPM_SELL_13
JPM,BUY,157,189.97,189.61,0.0001,1.0,0.1,0.79,2026-07-02 15:59:37,JPM_BUY_14
JPM,BUY,161,185.66,185.74,0.0001,1.0,0.1,0.81,2026-05-28 15:59:37,JPM_BUY_15
JPM,SELL,71,187.93,188.27,0.0001,1.0,0.1,0.35,2026-06-23 15:59:37,JPM_SELL_16
JPM,SELL,76,190.18,189.97,0.0001,1.0,0.1,0.38,2026-06-02 15:59:37,JPM_SELL_17
JPM,BUY,120,163.42,163.78,0.0001,1.0,0.1,0.6,2026-05-12 15:59:37,JPM_BUY_18
JPM,SELL,138,178.92,179.27,0.0001,1.0,0.1,0.69,2026-06-20 15:59:37,JPM_SELL_19
JPM,BUY,132,173.21,172.78,0.0001,1.0,0.1,0.66,2026-05-23 15:59:37,JPM_BUY_20
JPM,BUY,22,165.95,165.31,0.0001,1.0,0.1,0.11,2026-05-08 15:59:37,JPM_BUY_21
JPM,SELL,95,160.48,160.46,0.0001,1.0,0.1,0.48,2026-05-11 15:59:37,JPM_SELL_22
JPM,BUY,22,200.99,201.13,0.0001,1.0,0.1,0.11,2026-06-02 15:59:37,JPM_BUY_23
BAC,BUY,147,35.13,35.23,0.0001,1.0,0.1,0.73,2026-05-16 15:59:37,BAC_BUY_0
BAC,BUY,197,31.53,31.46,0.0001,1.0,0.1,0.98,2026-05-17 15:59:37,BAC_BUY_1
BAC,SELL,63,35.73,35.61,0.0001,1.0,0.1,0.32,2026-05-23 15:59:37,BAC_SELL_2
BAC,BUY,193,36.56,36.48,0.0001,1.0,0.1,0.96,2026-06-03 15:59:37,BAC_BUY_3
BAC,BUY,68,35.28,35.36,0.0001,1.0,0.1,0.34,2026-06-09 15:59:37,BAC_BUY_4
BAC,BUY,45,34.04,34.04,0.0001,1.0,0.1,0.23,2026-06-03 15:59:37,BAC_BUY_5
BAC,SELL,144,33.39,33.4,0.0001,1.0,0.1,0.72,2026-05-31 15:59:37,BAC_SELL_6
BAC,BUY,26,30.72,30.69,0.0001,1.0,0.1,0.13,2026-07-03 15:59:37,BAC_BUY_7
BAC,BUY,96,34.49,34.49,0.0001,1.0,0.1,0.48,2026-06-21 15:59:37,BAC_BUY_8
BAC,BUY,144,35.58,35.65,0.0001,1.0,0.1,0.72,2026-05-24 15:59:37,BAC_BUY_9
BAC,BUY,151,34.39,34.45,0.0001,1.0,0.1,0.76,2026-05-26 15:59:37,BAC_BUY_10
BAC,BUY,160,34.11,34.04,0.0001,1.0,0.1,0.8,2026-05-30 15:59:37,BAC_BUY_11
BAC,BUY,161,33.99,33.97,0.0001,1.0,0.1,0.81,2026-07-05 15:59:37,BAC_BUY_12
BAC,BUY,175,36.89,36.8,0.0001,1.0,0.1,0.88,2026-05-26 15:59:37,BAC_BUY_13
BAC,SELL,119,34.16,34.23,0.0001,1.0,0.1,0.59,2026-05-18 15:59:37,BAC_SELL_14
BAC,BUY,144,34.26,34.18,0.0001,1.0,0.1,0.72,2026-05-27 15:59:37,BAC_BUY_15
BAC,SELL,166,37.54,37.6,0.0001,1.0,0.1,0.83,2026-06-20 15:59:37,BAC_SELL_16
BAC,BUY,156,38.32,38.27,0.0001,1.0,0.1,0.78,2026-05-29 15:59:37,BAC_BUY_17
BAC,BUY,96,34.85,34.86,0.0001,1.0,0.1,0.48,2026-07-04 15:59:37,BAC_BUY_18
BAC,BUY,177,33.51,33.62,0.0001,1.0,0.1,0.89,2026-06-28 15:59:37,BAC_BUY_19
BAC,BUY,102,35.09,35.01,0.0001,1.0,0.1,0.51,2026-06-02 15:59:37,BAC_BUY_20
BAC,BUY,154,34.34,34.35,0.0001,1.0,0.1,0.77,2026-06-17 15:59:37,BAC_BUY_21
BAC,BUY,145,35.53,35.44,0.0001,1.0,0.1,0.72,2026-07-03 15:59:37,BAC_BUY_22
BAC,SELL,25,35.6,35.64,0.0001,1.0,0.1,0.12,2026-05-22 15:59:37,BAC_SELL_23
BAC,SELL,21,36.32,36.37,0.0001,1.0,0.1,0.1,2026-06-12 15:59:37,BAC_SELL_24
BAC,BUY,126,35.71,35.75,0.0001,1.0,0.1,0.63,2026-06-17 15:59:37,BAC_BUY_25
BAC,BUY,184,38.36,38.37,0.0001,1.0,0.1,0.92,2026-05-10 15:59:37,BAC_BUY_26
BAC,BUY,86,34.04,33.98,0.0001,1.0,0.1,0.43,2026-06-04 15:59:37,BAC_BUY_27
BAC,BUY,184,32.7,32.76,0.0001,1.0,0.1,0.92,2026-06-14 15:59:37,BAC_BUY_28
BAC,BUY,125,35.21,35.3,0.0001,1.0,0.1,0.62,2026-05-20 15:59:37,BAC_BUY_29
BAC,BUY,141,35.0,34.93,0.0001,1.0,0.1,0.7,2026-06-01 15:59:37,BAC_BUY_30
BAC,BUY,119,36.77,36.81,0.0001,1.0,0.1,0.59,2026-06-23 15:59:37,BAC_BUY_31
BAC,BUY,129,36.79,36.78,0.0001,1.0,0.1,0.65,2026-05-13 15:59:37,BAC_BUY_32
